cost_price,regular_price,regular_volume,regular_pe
29.0,50.0,260.0,-32.35294117647059
74.0,140.0,260.0,0.0
91.0,0.0,0.0,1.0
98.0,0.0,0.0,0.0
183.0,0.0,0.0,0.0
92.0,205.0,60.0,0.0
92.0,0.0,0.0,1.0
84.0,180.0,20.0,0.0
29.0,50.0,320.0,-20.76923076923077
105.0,220.0,30.0,-0.2665441176470588
74.0,140.0,230.0,-18.333333333333332
29.0,50.0,250.0,-0.13526570048309172
92.0,0.0,0.0,1.0
185.0,0.0,0.0,0.0
98.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0
84.0,180.0,60.0,0.0
92.0,205.0,70.0,1.200000000000001
92.0,205.0,10.0,0.0
92.0,0.0,0.0,1.0
84.0,180.0,60.0,0.0
74.0,140.0,200.0,-10.500000000000002
187.0,0.0,0.0,1.0
91.0,0.0,0.0,0.0
29.0,50.0,140.0,0.0
98.0,0.0,0.0,1.0
74.0,140.0,370.0,0.0
84.0,180.0,50.0,-3.0270270270270263
187.0,300.0,230.0,5.399999999999999
91.0,180.0,160.0,0.7608695652173914
105.0,220.0,50.0,-3.0937499999999987
98.0,200.0,20.0,6.599999999999998
92.0,150.0,140.0,-24.0
92.0,0.0,0.0,1.0
29.0,50.0,140.0,0.0
93.0,150.0,90.0,-0.17857142857142855
84.0,0.0,0.0,1.0
98.0,0.0,0.0,0.0
187.0,300.0,260.0,0.0
91.0,180.0,130.0,1.25
74.0,140.0,480.0,-12.115384615384617
29.0,50.0,330.0,0.48611111111111116
188.0,300.0,130.0,-0.12121212121212122
74.0,140.0,400.0,-3.8942307692307696
92.0,0.0,0.0,1.0
99.0,0.0,0.0,0.0
94.0,150.0,190.0,0.0
29.0,50.0,270.0,-0.6315789473684209
91.0,180.0,170.0,-0.14245014245014243
84.0,0.0,0.0,1.0
74.0,140.0,420.0,0.0
84.0,0.0,0.0,1.0
92.0,0.0,0.0,0.0
99.0,0.0,0.0,0.0
190.0,300.0,320.0,0.0
30.0,50.0,130.0,0.7125
91.0,180.0,220.0,0.2662721893491124
95.0,150.0,210.0,0.27272727272727254
30.0,50.0,90.0,0.857142857142857
99.0,200.0,240.0,0.5555555555555555
74.0,140.0,260.0,-0.2777777777777775
84.0,180.0,60.0,-2.692307692307691
190.0,300.0,220.0,3.9999999999999996
92.0,205.0,70.0,2.1531100478468903
95.0,150.0,320.0,-13.31168831168831
91.0,180.0,80.0,-3.750000000000001
92.0,205.0,30.0,-4.500000000000002
190.0,300.0,300.0,19.42105263157895
31.0,0.0,0.0,1.0
95.0,0.0,0.0,0.0
105.0,220.0,20.0,0.0
74.0,140.0,10.0,1.375
84.0,180.0,280.0,94.49999999999997
99.0,200.0,260.0,-0.6428571428571422
91.0,0.0,0.0,1.0
95.0,0.0,0.0,0.0
190.0,300.0,400.0,0.0
